rang,repo,url,etoiles,forks,cree,pousse,langage,tier,score,axes,topics,description
1841,otonomee/llm-agents-impostor-social-deduction-game,https://github.com/otonomee/llm-agents-impostor-social-deduction-game,0,0,2026-09-17,2026-09-17,Python,B,6,,agent-simulation ai-agents ai-safety among-us-inspired anthropic-api deception-d,"10 LLM agents play a hidden-impostor social deduction game. Crewmates share a secret word; the impostor only knows the category and must bluff. Each round: a kill, sealed room claims, sequential clues checked by a judge,"
1842,Cehha79/aka-recht,https://github.com/Cehha79/aka-recht,0,0,2026-09-16,2026-09-17,Python,B,6,,aktenverwaltung claude codex deutschland fristen gericht germany gesetze-im-inte,"Lokale Aktenmappe für Rechtssachen. Kostenlos, offen, für die KI, die du schon hast."
1843,23f3001800/TraceRoot,https://github.com/23f3001800/TraceRoot,0,0,2026-09-03,2026-09-17,Python,B,6,,agentic-ai langgraph mcp multi-agent python tools,"TraceRoot investigates failures in production AI applications by correlating operational evidence, identifying root causes, safely recommending or executing remediation, and verifying recovery."
1844,IsaacVanB/dream-analyzer,https://github.com/IsaacVanB/dream-analyzer,0,0,2026-07-06,2026-09-17,Python,B,6,,llm ollama-python python rag-chatbot,Using local LLMs to analyze a dream journal
1845,totalwindupflightsystems/gitreins,https://github.com/totalwindupflightsystems/gitreins,0,2,2026-06-19,2026-09-17,Python,B,6,,agent ai code-review git llm mcp pre-commit python,"Git-native AI agent co-harness — MCP server, static guards, and agentic evaluator for LLM-assisted coding"
1846,salonijain279/GPS-Route-Reliability-Monitoring,https://github.com/salonijain279/GPS-Route-Reliability-Monitoring,0,0,2026-08-30,2026-09-17,Python,B,6,,anomaly-detection data-quality geofencing geospatial gps numpy operational-analy,"Geospatial GPS reliability analysis with Haversine geofences, spatial anomaly detection, route completion, and device-health scoring"
1847,kairenndev/solstate,https://github.com/kairenndev/solstate,0,0,2026-08-25,2026-09-17,Python,B,6,,analytics anomaly-detection blockchain dashboard data-visualization monitoring n,"Auto-updating report on the state of the Solana ecosystem: network health, validators, economy. Python stdlib only, no API keys, no dependencies."
1848,AbdulAlharbi/exec-advisor,https://github.com/AbdulAlharbi/exec-advisor,0,0,2026-09-05,2026-09-17,Python,B,6,,ai-agents anthropic hackathon llm multi-agent python,"Multi-agent AI executive advisor: grounded findings, adversarial review, computed change detection."
1849,roymejia2217/ImageMD,https://github.com/roymejia2217/ImageMD,0,0,2026-02-08,2026-09-17,Python,B,6,,ffmpeg image image-classification image-processing image-repair imagemetadata me,"Herramienta de escritorio de alto rendimiento diseñada para la reparación, análisis y normalización de metadatos en archivos de imagen y video"
1850,Ne-k/Rasmai,https://github.com/Ne-k/Rasmai,0,1,2026-09-10,2026-09-17,Python,B,6,,dashboard discord-bot discord-py docker maimai maimai-dx maimaidx nextjs playwri,"Discord bot and dashboard for maimai DX that tells you what to play for the most rating, from your own scores"
1851,YangMikey/ai-procurement-assistant,https://github.com/YangMikey/ai-procurement-assistant,0,0,2026-09-14,2026-09-17,Python,B,6,,ai automation excel llm procurement python streamlit,AI 采购助理：报价单解析 / 两表匹配补缺 / 仅对齐 / 比价换算标红 / 采购建议；规则引擎为主、LLM 长尾兜底；本地优先（Python + Streamlit）
1852,Abner-Machado/mongo-timetravel,https://github.com/Abner-Machado/mongo-timetravel,0,0,2026-09-12,2026-09-17,Python,B,6,,cli forensics mongodb oplog point-in-time python,"Rebuild any MongoDB document as it was at any past instant, from the oplog. No audit log needed."
1853,turky4500/crypto-signals-arabic,https://github.com/turky4500/crypto-signals-arabic,0,0,2026-09-06,2026-09-17,Python,B,6,,arabic backtesting binance cryptocurrency github-pages pandas python rtl technic,لوحة عربية لإشارات Binance Spot على إطار الساعة
1854,llm-works/llm-gent,https://github.com/llm-works/llm-gent,0,0,2026-01-25,2026-09-17,Python,B,6,,agent-framework agent-runtime cli llm multi-agent python tool-calling trait-base,Composable agent framework with trait-based architecture and production HTTP runtime
1855,briettadisabling1382/WandelBar,https://github.com/briettadisabling1382/WandelBar,0,0,2026-08-23,2026-09-17,,B,6,,alithia apple-silicon ember ember-ai macos-menubar macos-tahoe menu-bar menubar ,"Customize the macOS menu bar background with your own style, contrast, and character."
1856,aahsnr-work/halcyon,https://github.com/aahsnr-work/halcyon,0,0,2026-09-16,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,"Hyprland, NVIDIA drivers, and a gaming kernel, pinned into one atomic image. Updates arrive overnight; the sea stays calm. That is what the name promises, and the image keeps it."
1857,PigKkkkk/caliope-reading-hub,https://github.com/PigKkkkk/caliope-reading-hub,0,0,2026-07-20,2026-09-17,HTML,B,6,,academia android cloud-native computer-science concurrency garbage-collection ge,"Connect authors and readers on a web platform designed for story publishing, reading, and social interaction."
1858,sanjok1stha/Kaze,https://github.com/sanjok1stha/Kaze,0,0,2026-03-07,2026-09-17,Swift,B,6,,akaze brief brisk feature-detection feature-matching freak interview links openc,"Transcribe speech to text locally on your Mac using a global hotkey, with no cloud or data sharing."
1859,AiMsu/bangla-coding-interview-preparation,https://github.com/AiMsu/bangla-coding-interview-preparation,0,0,2026-03-03,2026-09-17,,B,6,,algorithm bangla-computing bengali claude-code coding-interview coding-interview,Provide Bangla-language coding interview problems and tutorials focused on data structures and algorithms for technical interview preparation.
1860,maanu2043/bluecosm-os,https://github.com/maanu2043/bluecosm-os,0,0,2026-01-19,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,"🔄 Rebase your Fedora installation seamlessly with bluecosm-os, an experimental tool for managing containerized systems more efficiently."
1861,Thema31n/JAVA_NOTES,https://github.com/Thema31n/JAVA_NOTES,0,0,2026-01-12,2026-09-17,,B,6,,algorithm backend competitive-programming computer-network concurrency faang-int,"📘 Organize and explore essential Java concepts, frameworks, and best practices in this personal knowledge base for reference and interview prep."
1862,bachdepzai2012/viros-server,https://github.com/bachdepzai2012/viros-server,0,0,2025-12-16,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,"🛠️ Rebase Fedora installations easily with viros-server, leveraging a streamlined approach for managing your server's atomic updates."
1863,Mecza/vic-os,https://github.com/Mecza/vic-os,0,0,2025-06-08,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image github-config image-based immutabl,🛠️ Build and customize your own Fedora-based operating system using vic-os for streamlined installation and easy updates.
1864,noel1012bhako/citadelos,https://github.com/noel1012bhako/citadelos,0,0,2025-06-04,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,🚀 Streamline your Fedora installation with Citadelos for quick updates and seamless rebase to the latest signed images.
1865,BOIVIK/hypr-tail,https://github.com/BOIVIK/hypr-tail,0,0,2025-05-14,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,🚀 Transform your Fedora system with hypr-tail for seamless rebasing and enhanced performance using the latest container technology.
1866,turbo689/whiteship-os,https://github.com/turbo689/whiteship-os,0,0,2025-04-27,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,Whiteship OS is a lightweight operating system designed for developers and tech enthusiasts. It offers a streamlined interface and robust tools to enhance productivity and simplify coding tasks.
1867,Shankz772/Android-x64_Android16.0_Heavy_Edition_Docs,https://github.com/Shankz772/Android-x64_Android16.0_Heavy_Edition_Docs,0,0,2025-03-21,2026-09-17,Markdown,B,6,,android-16 android-alternative android-x64-android-16 android-x64-android-16-hea,"🤖️📖️ Android x64: The documentation source repository for the Heavy build of Android 16.0, a powerful, but large Android 16.0 (W) alternative installation"
1868,kfkchau/AWIG-OS,https://github.com/kfkchau/AWIG-OS,0,0,2026-07-18,2026-09-17,Python,B,6,,ai-governance ai-safety append-only audit-log awig-awig constitution event-sourc,"An operating system where nothing acts without passing a written rule, every yes and every no is on the record, and the whole system rebuilds from that record. AI inside it acts through the same rules as everyone else. N"
1869,blueniri/bnosv2,https://github.com/blueniri/bnosv2,0,0,2026-05-12,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,
1870,jamesrdorn/fedora-bluebuild-44,https://github.com/jamesrdorn/fedora-bluebuild-44,0,0,2026-09-14,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,
1871,floatingskies/ublue-float,https://github.com/floatingskies/ublue-float,0,0,2026-09-17,2026-09-17,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,
1872,OmegaSquad82/bazzite-custom,https://github.com/OmegaSquad82/bazzite-custom,0,0,2025-10-02,2026-09-17,Shell,B,6,,atomic bazzite bluebuild bluebuild-image custom-image image-based immutable linu,Personal flavored Bazzite
1873,api-evangelist/red-hat-enterprise-linux-8,https://github.com/api-evangelist/red-hat-enterprise-linux-8,0,0,2026-02-27,2026-09-17,,B,6,,apis-json enterprise linux operating-system red-hat rhel,"Red Hat Enterprise Linux 8 — independent third-party profile of a public API surface, by API Evangelist. Red Hat Enterprise Linux 8 (RHEL 8) is an enterprise-grade Linux distribution that provides a stable, secure, and h"
1874,floatingskies/sharkfin,https://github.com/floatingskies/sharkfin,0,0,2026-09-15,2026-09-16,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,
1875,SegFault777/MiniWin,https://github.com/SegFault777/MiniWin,0,0,2026-09-09,2026-09-16,C,B,6,,assembly c i386 miniwin operating-system os osdev x86-32,"A 32-bit x86 OS built from scratch — no libc, no dependencies."
1876,matehuos/ultimos,https://github.com/matehuos/ultimos,0,0,2026-07-31,2026-09-16,Shell,B,6,,atomic bluebuild bluebuild-image custom-image image-based immutable linux linux-,Imagem do bazzite-gnome com alguns pacotes removidos. Em teste. 
1877,MustafaHamid17/AetherOS,https://github.com/MustafaHamid17/AetherOS,0,0,2026-04-21,2026-09-16,,B,6,,ai ai-agent autonomous-agents developer-tools electron ide llm monaco-editor mul,"⚡ The Intelligent Multi-Agent AI Operating System & Local Monaco Box IDE | Autonomous coding agents, visual synthesis & sandbox environment."
1878,api-evangelist/debian,https://github.com/api-evangelist/debian,0,0,2026-03-15,2026-09-16,,B,6,,apis-json bug-tracker debian linux open-source operating-system package-manageme,"Debian — independent third-party profile of a public API surface, by API Evangelist. Debian is a free operating system distribution maintained by the Debian Project, a community of more than a thousand volunteers worldwi"
1879,kireji-app/kireji,https://github.com/kireji-app/kireji,0,0,2025-08-06,2026-09-16,JavaScript,B,6,,automatic-versioning compression-algorithm dns framework frontend multi-origin o,An MVC-based web framework for building reactive web applications that achieve the information-theoretic limit of compression of their runtime state in order to store that state in the URL.
1880,Shubham126710/Chronos,https://github.com/Shubham126710/Chronos,0,0,2026-09-05,2026-09-16,TypeScript,B,6,,ai modular-architecture operating-system productivity,AI powered Productive Operating System
1881,beratbesli/EfesOS,https://github.com/beratbesli/EfesOS,0,0,2026-08-05,2026-09-16,C,B,6,,kernel nasm operating-system qemu x86,Experimental 32-bit x86 operating system built in C and NASM with QEMU validation
1882,IndelibleVivi/macos-app-engineering-field-guide,https://github.com/IndelibleVivi/macos-app-engineering-field-guide,0,0,2026-09-17,2026-09-17,Python,B,6,,accessibility appkit field-guide macos performance swift swiftui,"A living, evidence-grounded field guide for native macOS app engineering with SwiftUI, AppKit, services, and runtime verification."
1883,laerad777/ghostdeck,https://github.com/laerad777/ghostdeck,0,0,2026-09-14,2026-09-17,Python,B,6,,jpeg macos ulanzi,JPEG play on a Ulanzi D200 from macOS. Checkout-only 0.1.0; not a pip package.
1884,dhohnholt/datalink_Mac_OS_interface,https://github.com/dhohnholt/datalink_Mac_OS_interface,0,0,2026-09-17,2026-09-17,Python,B,6,,apperson education homebrew macos omr reverse-engineering scantron serial,"Native macOS app for the Apperson DataLink 1200 bubble-sheet scanner — built because DataLink Connect no longer offers a supported Mac version. Reverse-engineered protocol, runs entirely offline, installs with Homebrew."
1885,d0lim/garakuta,https://github.com/d0lim/garakuta,0,0,2026-09-15,2026-09-17,Swift,B,6,,accessibility macos menu-bar notch swift swiftui window-switcher,"Menu bar organizer, notch panel and window switcher for macOS in one local-only Swift app"
1886,vibe-coding-labs/vibe-focus,https://github.com/vibe-coding-labs/vibe-focus,0,0,2026-03-11,2026-09-17,Swift,B,6,,claude-code hotkey macos menubar multi-monitor productivity swift window-manager,"macOS menu bar app for one-key window focus & restore — move any window to main screen, maximize, and restore with a single hotkey. Integrates with Claude Code hooks for automatic session window management."
1887,JJGF97/ScreenshotPlus,https://github.com/JJGF97/ScreenshotPlus,0,0,2026-09-16,2026-09-17,Swift,B,6,,lightweight macos menu-bar-app menubar-app ocr productivity qr-code qr-code-gene,Native macOS menu bar screenshot tool with OCR & QR generation | Captura de pantalla nativa para macOS con OCR y generación de QR
1888,Nirmaypanchal/rapport,https://github.com/Nirmaypanchal/rapport,0,0,2026-09-07,2026-09-17,Python,B,6,,ai-note-taker apple-silicon dji-mic local-first macos meeting-notes mlx ollama p,"Every voice note and meeting you record, in one local library on your Mac. Transcribed, speaker-tagged and summarized with open models. Nothing is uploaded."
1889,My-Outcasts/codepet,https://github.com/My-Outcasts/codepet,0,0,2026-06-19,2026-09-17,Swift,B,6,,ai coding-companion developer-tools macos swift swiftui,Codepet — AI coding companion for macOS (SwiftUI)
1890,wu9o/fitness-app,https://github.com/wu9o/fitness-app,0,0,2026-09-14,2026-09-17,Dart,B,6,,android dart fitness flutter healthkit ios ipados macos maplibre watchos workout,"Local-first, cross-platform activity and health companion built with Flutter, MapLibre and native watchOS."
1891,norsnors/discogs-deal-shark,https://github.com/norsnors/discogs-deal-shark,0,1,2026-06-17,2026-09-17,JavaScript,B,6,,deal-alerts discogs electron italo-disco macos nodejs record-collector vinyl win,"Discogs Deal Shark — desktop vinyl deal scanner for bargains, price drops, rare restocks and genre scouting."
1892,lucaszengool/Terse,https://github.com/lucaszengool/Terse,0,0,2026-03-11,2026-09-17,JavaScript,B,6,,ai-agent ai-tools claude-code cost-optimization cursor developer-tools llm macos,"The AI agent butler for macOS & Windows — live-monitor Claude Code, Cursor & more, stop runaway agent spend, manage MCP, and cut token costs 40–70%. On-device. Source + releases."
1893,mickyyang-1407/utuvo-type,https://github.com/mickyyang-1407/utuvo-type,0,0,2026-09-17,2026-09-17,Swift,B,6,,dictation liquid-glass macos mlx speech-to-text swift traditional-chinese,"Local-first voice dictation for macOS. Liquid Glass UI, deterministic Traditional Chinese cleanup, on-device Qwen3-ASR (MLX). Free, MIT."
1894,aladh/Spotty,https://github.com/aladh/Spotty,0,1,2026-08-24,2026-09-17,Swift,B,6,,librespot macos music-player rust spotify spotify-client swift swiftui,Native macOS Spotify client built with SwiftUI and librespot
1895,jason21wc/apple-calendar-mcp,https://github.com/jason21wc/apple-calendar-mcp,0,0,2026-08-19,2026-09-17,Swift,B,6,,calendar claude-code eventkit macos mcp model-context-protocol swift,"Local MCP server giving Claude Code and Codex access to the macOS Calendar via native EventKit. Swift, no network, no credentials."
1896,kwakseongjae/aphrodite-mela,https://github.com/kwakseongjae/aphrodite-mela,0,0,2026-09-10,2026-09-17,TypeScript,B,6,,ai-agents design-tools macos tauri,"Aphrodite — Shape before you build. A local-first macOS design workbench: decide the direction with real components and tokens, then hand your coding agent a design contract."
1897,tkc/termit,https://github.com/tkc/termit,0,0,2026-09-08,2026-09-17,Rust,B,6,,claude-code coding-agents developer-tools macos rust terminal terminal-emulator ,"A small macOS terminal for working with coding agents: a session pane, conversation forking, container profiles. Minimal on purpose, measured for speed, and nothing beyond a terminal's job."
1898,nghiadang391/DropShelf,https://github.com/nghiadang391/DropShelf,0,0,2026-08-26,2026-09-17,Swift,B,6,,drag-and-drop mac macos macos-app productivity swift swiftui utility,"Sleek and native macOS drag-and-drop productivity utility with floating shelves, smart gestures, and built-in vision tools"
1899,william-ricchiuti/Installory,https://github.com/william-ricchiuti/Installory,0,0,2026-05-15,2026-09-17,Swift,B,6,,cargo developer-tools homebrew mac-app-store macos macos-app npm package-managem,"Read-only macOS app that inventories every developer package on your Mac — Homebrew, pip, pipx, npm, Cargo, RubyGems, and Mac App Store — and generates cleanup scripts you run yourself. No network, no tracking."
1900,Aman17669/warzone-tactics-board,https://github.com/Aman17669/warzone-tactics-board,0,0,2026-08-19,2026-09-17,HTML,B,6,,acme acme-protocol acme-v2 buypass codable companion dayz decoding encoding fish,Best COD Companion Loadout Hub for Squad Tactics & Match Tracking 2026
1901,btu22/arkapp-ark,https://github.com/btu22/arkapp-ark,0,0,2026-09-16,2026-09-17,,B,6,,ai-agent devops macos server-management sftp ssh ssh-client terminal terminal-em,Connect to remote servers with an AI-native terminal and SSH client that acts on live server state.
1902,liyamuowner/ScribeBot,https://github.com/liyamuowner/ScribeBot,0,0,2026-04-19,2026-09-17,Swift,B,6,,asr chromedriver coreaudio gamebot hebrew hotkey local-first lua macos meeting-n,"Transcribe meetings on your Mac with 100% on-device AI—no bot joins your call, no audio leaves your computer, supporting ~100 languages."
1903,angr6908/chise,https://github.com/angr6908/chise,1,0,2026-04-15,2026-09-16,Shell,B,6,,bios btrfs debian reinstall uefi,Debian 13 (Btrfs) minimal install script (~150 MB after install).
1904,nfge/Roselia,https://github.com/nfge/Roselia,1,0,2026-04-06,2026-09-16,Rust,B,6,,bootloader kernel rust uefi x86-64,Roselia
1905,qualcomm/qdte-lite,https://github.com/qualcomm/qdte-lite,1,2,2026-07-22,2026-09-16,Python,B,6,,bootloader cli device-tree device-tree-editor devicetree dtb dts elf fdt firmwar,Lightweight device tree editor for Qualcomm config-ELF containers
1906,Erenk43456/Mentacore,https://github.com/Erenk43456/Mentacore,1,0,2026-09-07,2026-09-16,Rust,B,6,,ai-os bootloader kernel no-std operating-system osdev qemu rust uefi x86-64,"An experimental AI native operating system built from scratch in Rust, with a long-term goal of running a Python-based AI kernel and Flust directly on top of it."
1907,muak-os/stub,https://github.com/muak-os/stub,1,0,2026-08-30,2026-09-15,Rust,B,6,,os stub uefi,A small purpose built EFI stub to jumpstart any kernel
1908,Sasni/BIOS,https://github.com/Sasni/BIOS,1,0,2026-06-11,2026-09-15,Python,B,6,,bios firmware flask nvram python reverse-engineering uefi,"Open-source tools for analyzing, identifying, and repairing BIOS/UEFI firmware dumps. CLI + Web GUI."
1909,Importantlooking-visualpurple387/Diskpart-GUI,https://github.com/Importantlooking-visualpurple387/Diskpart-GUI,1,0,2026-05-01,2026-09-17,C#,B,6,,bios disk disk-management disk-manager diskpart-gui dotnet8 efi format gpt gui m,Manage Windows disks and partitions with a native graphical interface powered by the Diskpart engine.
1910,danielcopper/emu-atlas,https://github.com/danielcopper/emu-atlas,1,0,2026-07-21,2026-09-16,Python,B,6,,bios emudeck emulation retroarch retrodeck save-files,"The map of where emulators keep things — config-aware knowledge of emulator installations: detection, save placement, BIOS, override chains"
1911,assilassilkerr-boop/AssilBIOS,https://github.com/assilassilkerr-boop/AssilBIOS,1,0,2026-07-07,2026-09-05,Assembly,B,6,,16-bit algeria assembler bios constantine made-in-algeria nasm,a AssilOS Project's own Legacy BIOS
1912,Chimipupu/ps1_bios_checker,https://github.com/Chimipupu/ps1_bios_checker,1,0,2026-08-26,2026-08-27,C,B,6,,bios gcc hack playstation ps1,PS1 BIOS Checker for GCC
1913,LucaCraft89/enter-bot,https://github.com/LucaCraft89/enter-bot,1,0,2026-08-25,2026-08-25,C++,B,6,,arduino bios esp32 esp32-s3 homelab hp keyboard ota platformio server tinyusb us,"ESP32-S3 USB keyboard that answers the 'Press ENTER to continue' boot prompt on a battery-less HP laptop server, then stops once the host answers on the network. No display, KVM or IPMI required."
1914,fujitsu/ansible-irmc-integration,https://github.com/fujitsu/ansible-irmc-integration,1,1,2026-04-08,2026-08-26,Python,B,6,,ansible ansible-collection bios fsas irmc primergy,Ansible collection for managing Fsas Technologies PRIMERGY servers through iRMC.
1915,jmuzzi/dell-vmd-nvme-timeout-fix,https://github.com/jmuzzi/dell-vmd-nvme-timeout-fix,1,0,2026-08-24,2026-08-24,Shell,B,6,,bios dell erratum inspiron intel-vmd linux meteor-lake nvme ubuntu,"Fix for nvme: I/O timeout, completion polled on Intel Meteor Lake — Intel erratum MTL016 in the VMD controller. Switching Dell storage mode RAID→AHCI: 154 timeouts/boot → 0"
1916,MTSyntho/mkfreebsdiso,https://github.com/MTSyntho/mkfreebsdiso,1,0,2026-05-17,2026-08-22,Rust,B,6,,bios bsd cli command-line freebsd gpt linux mbr operating-system os posix,A simple CLI tool to streamline creation of FreeBSD images without building from source.
1917,pamela-0/boot-doctor-mcp,https://github.com/pamela-0/boot-doctor-mcp,1,0,2026-08-19,2026-08-21,Python,B,6,,ai-agent beep-codes bios claude claude-code hardware mcp mcp-server model-contex,"Real, deterministic MCP server for PC no-boot/no-display troubleshooting -- real beep-code tables, no LLM guessing at hardware causes."
1918,izzamoe/copydmi-rs,https://github.com/izzamoe/copydmi-rs,1,0,2026-08-19,2026-08-20,Rust,B,6,,bios ch341a dmi firmware lenovo reverse-engineering rust smbios uefi,DMI/SMBIOS transplant + UEFI Firmware Volume checksum repair for Lenovo BIOS dumps (feeds .exe installers directly)
1919,foxorange224/rufus-linux,https://github.com/foxorange224/rufus-linux,1,0,2026-08-07,2026-08-16,C++,B,6,,bios boot bootable-media cli cpp freedos gpt grub iso isolinux linux-app mbr md5,"Linux port using Qt6, C and C++"
1920,GizClaw/gizos,https://github.com/GizClaw/gizos,1,1,2026-08-23,2026-09-17,C,B,6,,bazel beken c cross-platform embedded esp32 firmware iot webassembly,"Portable firmware and application platform for embedded devices, desktop, mobile, and WebAssembly."
1921,pi0trdotsys/iBetaBot,https://github.com/pi0trdotsys/iBetaBot,1,0,2026-02-10,2026-09-17,Python,B,6,,apple automation beta-testing firmware github-actions ios ipados macos monitorin,"⚡ Real-time Apple beta & RC firmware watchdog — iOS, iPadOS, macOS, tvOS & visionOS builds pushed straight to Telegram the moment they drop. Cron-ready, dependency-light, zero manual checking."
1922,actuaryarticulatorysystem2752/apr-emu-updater,https://github.com/actuaryarticulatorysystem2752/apr-emu-updater,1,0,2026-08-23,2026-09-17,,B,6,,aprs-is aprs-tracker atari-lynx atari2600 emulation emulator firmware gps gps-tr,"Manage APR Emu versions per PS5 game via a simple web UI, overriding libSceAmpr.sprx at runtime without editing game images."
1923,Lion-1209/flashgate,https://github.com/Lion-1209/flashgate,1,0,2026-08-28,2026-09-17,Python,B,6,,agent-verification claude-code coding-agent embedded firmware hardware-in-the-lo,The agent can't claim the firmware works — until the board says so. Hardware-in-the-loop verification gate: build → flash → boot banner → exit code.
1924,charliejgallo/ESP32S3_AmoledOS,https://github.com/charliejgallo/ESP32S3_AmoledOS,1,0,2026-09-09,2026-09-17,C,B,6,,amoled ancs ble embedded esp-idf esp32 esp32-s3 firmware home-assistant lvgl sma,"A watch firmware for the Waveshare ESP32-S3-Touch-AMOLED-1.8: LVGL 9 on ESP-IDF, dynamic apps loaded as .so from the microSD, a desktop SDL simulator that runs the same UI code, and iPhone notifications over BLE."
1925,api-evangelist/particle,https://github.com/api-evangelist/particle,1,0,2026-06-12,2026-09-17,,B,6,,apis-json bluetooth cellular device-management embedded firmware fleet-managemen,"Particle — independent third-party profile of a public API surface, by API Evangelist. Particle is an integrated IoT Platform-as-a-Service that provides cellular, Wi-Fi, and Bluetooth hardware modules alongside a compreh"
1926,api-evangelist/openbmc,https://github.com/api-evangelist/openbmc,1,0,2026-03-16,2026-09-17,,B,6,,apis-json firmware hardware linux-foundation server,"OpenBMC — independent third-party profile of a public API surface, by API Evangelist. OpenBMC is a Linux Foundation project producing an open source implementation of baseboard management controller firmware. Founded by "
1927,markPVale/industrial-sensor-pipeline,https://github.com/markPVale/industrial-sensor-pipeline,1,0,2026-03-22,2026-09-17,C++,B,6,,cpp edge-computing embedded-systems esp32 firmware freertos industrial-iot influ,"Deterministic edge firmware and cloud ingest pipeline  for industrial vibration monitoring. ESP32, FreeRTOS,  MQTT, InfluxDB."
1928,xusheng6/tv-acr-research,https://github.com/xusheng6/tv-acr-research,1,1,2026-09-11,2026-09-11,Python,B,6,,acr firmware-analysis privacy reverse-engineering smart-tv,Firmware-grounded research into automatic content recognition in smart TVs and streaming devices
1929,Hitheshkaranth/noyce-ide-dist,https://github.com/Hitheshkaranth/noyce-ide-dist,1,0,2026-04-13,2026-09-11,HTML,B,6,,ai ai-agents avionics cbmc codeql do-178c embedded firmware-analysis mcdc misra-,"AI-native Code-OSS workbench for safety-critical firmware. DO-178C evidence, MISRA, CBMC, CodeQL, measured MC/DC and hardware tooling in one window — with compliance runs that record what was actually measured, and claim"
1930,Jarrettgohxz/iotsec.tools,https://github.com/Jarrettgohxz/iotsec.tools,1,0,2026-05-27,2026-09-15,Dockerfile,B,6,,binwalk firmware firmware-analysis firmware-emulation firmware-toolkit firmware-,Potential Swiss Army Knife Framework for IoT/Hardware Hacking/Vulnerability Research 
1931,Seemafir6626/esp32-p4-decompiler-plugin,https://github.com/Seemafir6626/esp32-p4-decompiler-plugin,1,0,2026-06-24,2026-09-17,,B,6,,decompiler esp32 esp32-p4 esp32-p4x espressif firmware-analysis ghidra ghidra-pl,"Enable full Ghidra support for the ESP32-P4 RISC-V microcontroller with custom Sleigh processor definitions, peripheral memory maps, and ROM symbol loading."
1932,NerdTIV/QDig,https://github.com/NerdTIV/QDig,1,0,2026-08-08,2026-08-24,Python,B,6,,at-commands baseband embedded firmware-analysis ghidra ghidra-extension ghidra-l,"Reassembles split Qualcomm firmware for Ghidra, and recovers source file and line from the debug metadata left in the binary"
1933,HexLasso/FF-16,https://github.com/HexLasso/FF-16,1,0,2025-12-04,2026-09-02,Go,B,6,,binary-analysis firmware-analysis forensics reverse-engineering static-analysis,Static pattern discovery tool to locate structures from frequent patterns and understand file layout
1934,CAATZ/bimmerstein-bin-analyzer,https://github.com/CAATZ/bimmerstein-bin-analyzer,1,0,2026-07-29,2026-09-10,TypeScript,B,6,,automotive binary-analysis bmw ecu ecu-tuning firmware-analysis ms41 reverse-eng,"Open-source Windows app for ECU binary analysis and editing: automatic map and axis detection, hex/2D/3D views, supported checksum correction, and RomRaider / TunerPro XDF / CSV / JSON export."
1935,Hahatunchiks/UEFITool,https://github.com/Hahatunchiks/UEFITool,1,0,2022-05-18,2022-05-19,C++,B,6,TOOL,,
1936,bogisichaudrey/Uefitool,https://github.com/bogisichaudrey/Uefitool,1,0,2022-05-13,2022-05-13,,B,6,TOOL,,UEFI firmware image viewer and editor
1937,WilliamABradley/MMTools,https://github.com/WilliamABradley/MMTools,1,2,2019-02-22,2022-12-08,C#,B,6,TOOL,,
1938,n3mo/mmtool,https://github.com/n3mo/mmtool,1,1,2016-06-01,2016-11-07,CSS,B,6,TOOL,,Racket command line tool for working with MassMine data
1939,orm011/mmtool,https://github.com/orm011/mmtool,1,0,2023-08-15,2023-08-17,Python,B,6,TOOL,,fine-tuning OpenAI CLIP for some web-scraped datasets
1940,kknowerr/coopWeissman-MMToolOnly,https://github.com/kknowerr/coopWeissman-MMToolOnly,1,0,2021-10-08,2021-10-08,HTML,B,6,TOOL,,
1941,ilyachenko/mmtools,https://github.com/ilyachenko/mmtools,1,0,2015-09-28,2015-09-28,JavaScript,B,6,TOOL,,For developers and QA
1942,LandingEagle/mmTools,https://github.com/LandingEagle/mmTools,1,0,2015-07-19,2017-08-11,Visual Basic,B,6,TOOL,,Mediamonkey.VB.Monolithic.Batch-Database.Windows-Console.Tools
1943,idiap/CBI-MMTools,https://github.com/idiap/CBI-MMTools,1,1,2021-11-25,2023-01-30,Java,B,6,TOOL,,"Plugins, device adapters and libraries for the operation of microscopy platforms using Micro-Manager, developed by the Computational BioImaging group at Idiap Research Institute"
